stellar_mass,gas_mass,vmax,pos_x,pos_y,pos_z,sfr,baryonic_mass,gas_fraction,log_env,log_mbar,log_vmax,btfr_residual
2204578600.0,7240973300.0,93.30922,0.09328278,25.328876,17.06017,0.1879024,9445552000.0,0.7666014,1.1575449994397777,9.975227,1.9699246,0.16001892
5784182300.0,1954790900.0,121.5293,0.06607637,24.270323,16.935635,0.2638608,7738973000.0,0.25259048,1.7613612746548868,9.888683,2.084681,-0.34385586
12701615000.0,0.0,115.85535,0.7134966,26.49398,17.962801,0.0,12701615000.0,0.0,2.4861313687708773,10.103859,2.063916,-0.053164482
512041380.0,7387071500.0,88.27703,1.2336376,27.226377,17.896845,0.19005531,7899113000.0,0.9351773,1.5738297826161913,9.897578,1.9458477,0.1699295
1382378400.0,5478091000.0,90.67382,1.1913995,27.217907,17.231512,0.25936085,6860469000.0,0.7985009,1.2267840092357756,9.836354,1.9574819,0.06639576
15451218000.0,0.0,142.35097,0.9108304,26.282787,18.531387,0.0,15451218000.0,0.0,3.124389057412137,10.188963,2.1533604,-0.29334068
12477709000.0,0.0,133.45734,0.62337065,26.29593,17.242308,0.0,12477709000.0,0.0,1.9122922333418622,10.096135,2.1253424,-0.284276
11103094000.0,0.0,136.17911,0.2753587,26.33429,17.512945,0.0,11103094000.0,0.0,1.631618107728295,10.045444,2.1341105,-0.36685467
3721210000.0,1281961700.0,110.356316,0.88461787,26.075253,17.041462,0.026824815,5003172000.0,0.2562298,1.4429809962129592,9.699245,2.042797,-0.38097572
11733795000.0,0.0,128.20728,0.73949414,26.556774,17.132502,0.0,11733795000.0,0.0,1.8619659569286857,10.069439,2.1079128,-0.2475872
5471344600.0,5071743500.0,114.75845,0.29350507,24.812334,17.327312,0.1990669,10543088000.0,0.48104915,1.6370553360918203,10.022968,2.0597847,-0.11903095
15629835000.0,0.0,184.23557,0.24010889,24.637383,16.792189,0.0,15629835000.0,0.0,2.7246336155029565,10.193954,2.2653735,-0.6957035
4017286400.0,0.0,110.49808,1.7738779,25.989738,18.832645,0.0,4017286400.0,0.0,1.2268366326209748,9.603932,2.0433547,-0.47831726
3380652300.0,5183243300.0,96.79799,0.32153666,26.779604,15.895402,0.13694344,8563895300.0,0.6052436,1.7202513781109343,9.932672,1.9858663,0.059488297
2439587800.0,11153363000.0,96.61053,74.79807,24.267982,16.711323,0.44873497,13592951000.0,0.8205255,1.8406666941212628,10.133314,1.9850245,0.26319218
9316352000.0,0.0,118.914185,1.1179456,26.146128,18.506395,0.0,9316352000.0,0.0,2.637369285435451,9.969246,2.0752337,-0.22893715
10581980000.0,4425607700.0,152.48128,0.85338604,26.25571,18.357113,3.824987,15007588000.0,0.29489133,3.744387300303921,10.176311,2.1832166,-0.41456985
1686553200.0,11834776000.0,95.08765,0.6243936,24.496145,17.410763,0.17103222,13521329000.0,0.87526715,1.3751287818616424,10.13102,1.9781241,0.28599167
2222649900.0,561465300.0,90.801315,1.294598,27.053566,18.160564,0.04476777,2784115200.0,0.2016674,1.6403058230381147,9.444687,1.9580921,-0.3274908
6330993700.0,0.0,117.79266,1.2629355,26.76707,18.422873,0.0,6330993700.0,0.0,1.7184587382498813,9.801472,2.0711184,-0.38174534
1058129660.0,4593804000.0,86.938225,1.8025777,26.602129,19.64809,0.025956782,5651933000.0,0.8127845,0.9778875805762218,9.752197,1.9392108,0.048685074
5138805000.0,1679319600.0,113.68846,0.44616598,24.477156,16.75317,0.4307505,6818125000.0,0.24630226,1.995242847054445,9.833665,2.0557163,-0.29353905
4372389400.0,7184286700.0,125.54818,74.90512,24.428665,16.54586,0.7217245,11556676000.0,0.6216569,1.7993274893569997,10.062833,2.0988104,-0.22109032
4337028000.0,0.0,107.16986,0.054611076,26.322622,16.638628,0.0,4337028000.0,0.0,1.3115858506098959,9.637192,2.0300727,-0.39675522
10823290000.0,0.0,122.48337,0.22509438,26.980938,17.245577,0.0,10823290000.0,0.0,1.7568273980044369,10.034359,2.088077,-0.21053123
5267360300.0,0.0,109.22562,0.45997718,26.014874,17.115181,0.0,5267360300.0,0.0,1.512645291629095,9.721593,2.0383246,-0.34236336
949308100.0,12455262000.0,88.33416,1.3661084,26.885403,19.83267,0.4577164,13404571000.0,0.92918026,1.0930595769636582,10.127253,1.9461287,0.3985815
8383488500.0,0.0,117.35876,1.100185,25.905664,18.644436,0.0,8383488500.0,0.0,2.212652440426846,9.923425,2.0695155,-0.25396252
4171533300.0,244630480.0,106.541084,0.69925857,24.771875,16.549995,0.004606639,4416164000.0,0.05539434,1.29856142397652,9.645045,2.027517,-0.37960815
2232028200.0,2907717400.0,98.805466,0.5131255,27.081753,18.108288,0.38496742,5139746000.0,0.56573176,1.5764586740806013,9.710941,1.994781,-0.1946621
13215402000.0,0.0,173.92589,0.95714545,26.288128,18.394106,0.0,13215402000.0,0.0,3.284256590358371,10.12108,2.2403643,-0.67762756
3847498800.0,134247090.0,123.79637,0.5507567,26.482298,18.290495,0.00046400152,3981746000.0,0.033715636,2.618986847491017,9.600074,2.0927079,-0.6616564
2438026200.0,140943710.0,91.06526,0.15726453,26.223623,18.680172,0.0,2578969900.0,0.054651167,1.474432024224907,9.411447,1.9593527,-0.36531544
6367487500.0,0.0,109.85442,1.0391022,25.973354,18.764389,0.0,6367487500.0,0.0,2.496049832302016,9.803968,2.0408175,-0.2690544
13199588000.0,0.0,287.8056,0.8641974,26.321295,18.319435,0.0,13199588000.0,0.0,4.764466322370528,10.120561,2.4590993,-1.4736137
9774099000.0,0.0,115.56698,0.96643215,26.459265,17.698574,0.0,9774099000.0,0.0,2.5853870154700846,9.990077,2.0628338,-0.16301155
9601987000.0,0.0,128.21457,0.7547126,26.445337,18.034508,0.0,9601987000.0,0.0,2.589293354312874,9.982361,2.1079373,-0.334754
3915353300.0,0.0,92.63665,0.59126383,26.843811,16.309101,0.0,3915353300.0,0.0,1.6560756946799209,9.592771,1.9667828,-0.21101189
7177319000.0,0.0,102.0133,1.5567667,26.702065,19.178337,0.0,7177319000.0,0.0,1.4129990149817866,9.855962,2.0086567,-0.100102425
7164636700.0,0.0,126.50775,0.1820357,26.52708,18.042822,0.0,7164636700.0,0.0,1.6255772857876125,9.855194,2.102117,-0.4407549
10778427000.0,0.0,143.78746,0.85412604,26.251188,18.56274,0.0,10778427000.0,0.0,2.8472103238859883,10.032556,2.157721,-0.4656067
1950297700.0,2967065300.0,87.84611,1.2161098,27.376698,17.472643,0.33703282,4917363000.0,0.60338545,1.377819912423831,9.691732,1.9437225,-0.028187752
3328237000.0,0.0,104.1443,1.1486204,26.877165,18.095701,0.0,3328237000.0,0.0,1.7572717158096591,9.522214,2.0176356,-0.46650314
4480620000.0,0.0,84.88921,0.8851326,27.933006,17.647915,0.0,4480620000.0,0.0,0.8990094035470677,9.651339,1.9288526,-0.014504433
2328740400.0,0.0,93.31861,0.54556286,25.875319,18.622839,0.0,2328740400.0,0.0,1.5915992144834696,9.367121,1.9699683,-0.44824696
4356764700.0,0.0,89.26119,0.9997023,26.237564,19.142445,0.0,4356764700.0,0.0,1.6905742768098364,9.639164,1.9506627,-0.10599518
2457731000.0,0.0,94.12541,0.9068245,26.815086,16.504725,0.0,2457731000.0,0.0,1.2937671387363496,9.390534,1.9737068,-0.43842888
